timestamp,location_id,parking_type,capacity,occupancy,latitude,longitude,temperature,humidity,wind_speed,precipitation,hour,weekday,month,day,is_weekend,is_holiday,time_category,humidity_squared,humidity_low,humidity_medium,humidity_high,no_rain,light_rain,moderate_rain,heavy_rain,log_precipitation,precipitation_squared,temp_cold,temp_mild,temp_warm,temp_hot,comfort_index,morning_peak,midday,evening_peak,night,business_hours,hour_sin_halfday,hour_cos_halfday,hours_since_midnight,days_since_month_start,days_until_month_end,location_cluster,utilization_pct,low_utilization,medium_utilization,high_utilization,parking_type_Mixed,parking_type_Public,parking_type_Resident,morning_peak_temperature,morning_peak_humidity,morning_peak_precipitation,morning_peak_heavy_rain,morning_peak_temp_hot,midday_temperature,midday_humidity,midday_precipitation,midday_heavy_rain,midday_temp_hot,evening_peak_temperature,evening_peak_humidity,evening_peak_precipitation,evening_peak_heavy_rain,evening_peak_temp_hot,night_temperature,night_humidity,night_precipitation,night_heavy_rain,night_temp_hot,is_weekend_temperature,is_weekend_humidity,is_weekend_precipitation,is_weekend_heavy_rain,is_weekend_temp_hot,location_cluster_morning_peak,location_cluster_evening_peak,location_cluster_is_weekend,parking_type_Mixed_morning_peak,parking_type_Public_morning_peak,parking_type_Resident_morning_peak,parking_type_Mixed_evening_peak,parking_type_Public_evening_peak,parking_type_Resident_evening_peak,parking_type_Mixed_is_weekend,parking_type_Public_is_weekend,parking_type_Resident_is_weekend,location_cluster_heavy_rain,location_cluster_temp_hot,parking_type_Mixed_heavy_rain,parking_type_Public_heavy_rain,parking_type_Resident_heavy_rain,parking_type_Mixed_temp_hot,parking_type_Public_temp_hot,parking_type_Resident_temp_hot
2023-01-01 00:00:00,LOC_1,Mixed,423,79.96238222991123,41.36708690029832,2.1506194885482106,18.493428306022462,61.37128093423267,7.3825919938312525,0.0,0,6,1,1,True,False,night,3766.4341235085108,0,1,0,1,0,0,0,0.0,0.0,0,1,0,0,24.63055639944573,0,0,0,1,0,0.0,1.0,0.0,0,30,4,0.1890363646097192,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,18.493428306022462,61.37128093423267,0.0,0,0,18.493428306022462,61.37128093423267,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 01:00:00,LOC_1,Mixed,423,59.77082230603931,41.36708690029832,2.1506194885482106,16.02473920852233,68.33129820065598,5.280406436539817,0.0,1,6,1,1,True,False,night,4669.166313786971,0,1,0,1,0,0,0,0.0,0.0,0,1,0,0,22.857869028587928,0,0,0,1,0,0.49999999999999994,0.8660254037844387,1.0,0,30,4,0.1413021803925279,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,16.02473920852233,68.33129820065598,0.0,0,0,16.02473920852233,68.33129820065598,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 02:00:00,LOC_1,Mixed,423,47.140751569008565,41.36708690029832,2.1506194885482106,16.309722243215575,66.194395004205,6.76747583424801,0.0,2,6,1,1,True,False,night,4381.697929972721,0,1,0,1,0,0,0,0.0,0.0,0,1,0,0,22.929161743636076,0,0,0,1,0,0.8660254037844386,0.5000000000000001,2.0,0,30,4,0.11144385713713609,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,16.309722243215575,66.194395004205,0.0,0,0,16.309722243215575,66.194395004205,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 03:00:00,LOC_1,Mixed,423,40.040342050350155,41.36708690029832,2.1506194885482106,16.773482228599715,69.48756595347292,6.447222217917625,0.0,3,6,1,1,True,False,night,4828.521822138249,0,1,0,1,0,0,0,0.0,0.0,0,1,0,0,23.72223882394701,0,0,0,1,0,1.0,6.123233995736766e-17,3.0,0,30,4,0.09465801903156065,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,16.773482228599715,69.48756595347292,0.0,0,0,16.773482228599715,69.48756595347292,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 04:00:00,LOC_1,Mixed,423,29.054017506752807,41.36708690029832,2.1506194885482106,12.06038355506166,67.90931390674223,6.932714638617349,0.0,4,6,1,1,True,False,night,4611.674915284453,0,1,0,1,0,0,0,0.0,0.0,0,1,0,0,18.851314945735883,0,0,0,1,0,0.8660254037844387,-0.49999999999999983,4.0,0,30,4,0.06868562058333996,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,12.06038355506166,67.90931390674223,0.0,0,0,12.06038355506166,67.90931390674223,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 05:00:00,LOC_1,Mixed,423,16.01989642680416,41.36708690029832,2.1506194885482106,11.032055033129287,72.38317587539018,5.201733354040982,0.0,5,6,1,1,True,False,night,5239.324149807667,0,0,1,1,0,0,0,0.0,0.0,0,1,0,0,18.270372620668304,0,0,0,1,0,0.49999999999999994,-0.8660254037844387,5.0,0,30,4,0.03787209557164104,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.032055033129287,72.38317587539018,0.0,0,0,11.032055033129287,72.38317587539018,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 06:00:00,LOC_1,Mixed,423,18.937475100398803,41.36708690029832,2.1506194885482106,13.871333995055032,71.81576024383783,6.7485584388768824,0.0,6,6,1,1,True,False,morning,5157.503419400398,0,0,1,1,0,0,0,0.0,0.0,0,1,0,0,21.052910019438816,0,0,0,1,0,1.2246467991473532e-16,-1.0,6.0,0,30,4,0.04476944468179386,1,0,0,True,False,False,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,13.871333995055032,71.81576024383783,0.0,0,0,13.871333995055032,71.81576024383783,0.0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 07:00:00,LOC_1,Mixed,423,19.259955617471352,41.36708690029832,2.1506194885482106,11.755448217684991,74.67947621635498,6.694495342043474,0.0,7,6,1,1,True,False,morning,5577.02416794913,0,0,1,1,0,0,0,0.0,0.0,0,1,0,0,19.22339583932049,1,0,0,0,0,-0.4999999999999998,-0.8660254037844388,7.0,0,30,4,0.04553180997038145,1,0,0,True,False,False,11.755448217684991,74.67947621635498,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.755448217684991,74.67947621635498,0.0,0,0,4,0,4,1,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 08:00:00,LOC_1,Mixed,423,29.56917146840293,41.36708690029832,2.1506194885482106,9.118431600986746,85.1534482373259,6.693456357819843,1.4367569459094216,8,6,1,1,True,False,morning,7251.109746706942,0,0,1,0,1,0,0,0.890668034712056,2.0642705216189685,1,0,0,0,17.633776424719336,1,0,0,0,0,-0.8660254037844384,-0.5000000000000004,8.0,0,30,4,0.06990347864870669,1,0,0,True,False,False,9.118431600986746,85.1534482373259,1.4367569459094216,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.118431600986746,85.1534482373259,1.4367569459094216,0,0,4,0,4,1,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
2023-01-01 09:00:00,LOC_1,Mixed,423,36.15004027766113,41.36708690029832,2.1506194885482106,11.320043781095473,74.78315816799321,6.823373564863141,0.0397163733276647,9,6,1,1,True,False,morning,5592.520745579089,0,0,1,0,1,0,0,0.03894795800480895,0.001577390310302436,0,1,0,0,18.798359597894795,1,0,0,0,0,-1.0,-1.8369701987210297e-16,9.0,0,30,4,0.08546108812685846,1,0,0,True,False,False,11.320043781095473,74.78315816799321,0.0397163733276647,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.320043781095473,74.78315816799321,0.0397163733276647,0,0,4,0,4,1,0,0,0,0,0,True,False,False,0,0,0,0,0,0,0,0
