timestamp,location_id,occupancy,day_of_week,hour_of_day,is_weekend,is_holiday,temperature,precipitation
2024-01-01 00:00:00,B2,25,0,11,1,0,18.122260825008514,0.6536728033917674
2024-01-01 01:00:00,B2,62,1,7,0,0,21.88314456376735,0.07024153684201856
2024-01-01 02:00:00,B2,23,4,12,1,0,18.116555708789967,0.5709702602013197
2024-01-01 03:00:00,C3,56,4,19,0,0,7.499337935786222,0.0025022262353004586
2024-01-01 04:00:00,A1,94,3,5,1,0,11.505931626906442,0.024405318234658326
2024-01-01 05:00:00,C3,37,1,16,0,0,8.970277117326455,0.0106191508380715
2024-01-01 06:00:00,A1,1,2,16,1,1,20.26180624254576,0.14258774063719898
2024-01-01 07:00:00,C3,73,6,4,1,0,19.521751210686542,0.19124729841392576
2024-01-01 08:00:00,B2,92,1,11,1,0,13.012577342775092,0.34068303125871363
2024-01-01 09:00:00,B2,19,5,10,0,0,16.976693293135913,0.1747539156795352
2024-01-01 10:00:00,C3,73,4,15,0,0,9.352165126616542,0.025535056662231888
2024-01-01 11:00:00,B2,91,4,10,0,0,18.9688826973157,0.20356335730102612
2024-01-01 12:00:00,A1,48,5,11,0,0,22.851144722448364,0.37586717566851957
2024-01-01 13:00:00,A1,68,4,10,1,0,10.620864342693356,0.04386810213221237
2024-01-01 14:00:00,A1,59,2,5,0,0,6.612318537520933,0.017114964151973392
2024-01-01 15:00:00,C3,81,5,23,0,0,10.018457904181256,0.12079074868864194
2024-01-01 16:00:00,A1,48,6,18,0,0,11.94864370393246,2.718984778849238
2024-01-01 17:00:00,A1,28,4,14,1,0,17.805407611358753,1.4773900077700701
2024-01-01 18:00:00,A1,52,6,21,0,0,12.660856471300008,0.5583109376502611
2024-01-01 19:00:00,A1,83,6,22,1,0,15.053853069645845,0.609943014032228
2024-01-01 20:00:00,A1,49,2,13,0,0,21.886462580578375,0.08762496363500978
2024-01-01 21:00:00,C3,17,2,1,0,0,9.70483671672304,0.015159866896648179
2024-01-01 22:00:00,C3,11,2,4,0,0,19.696369419640245,0.26904832848509025
2024-01-01 23:00:00,C3,36,1,12,0,0,13.833261826345634,0.09092212315488475
2024-01-02 00:00:00,A1,53,2,0,1,0,23.50183931348406,1.7928441910594588
2024-01-02 01:00:00,B2,3,2,13,0,0,9.737950382446316,0.14738506036543303
2024-01-02 02:00:00,B2,26,6,16,1,0,10.888321656123894,0.6728211304321196
2024-01-02 03:00:00,C3,25,6,18,0,0,10.66714645412443,0.7600981362655354
2024-01-02 04:00:00,A1,19,1,15,1,0,14.704002225152234,1.673272432138191
2024-01-02 05:00:00,A1,14,1,21,1,0,17.21968996837726,0.13211470772880815
2024-01-02 06:00:00,A1,79,1,10,1,0,17.54806956487204,0.4283894146962532
2024-01-02 07:00:00,C3,44,4,10,1,0,12.541675920756143,0.08135146426551437
2024-01-02 08:00:00,C3,97,3,11,0,0,16.04002543098039,0.6416258998512697
2024-01-02 09:00:00,C3,27,5,5,0,0,4.65977523354423,0.4518721540120415
2024-01-02 10:00:00,B2,18,4,3,0,0,17.6599116715891,0.5585407458735493
2024-01-02 11:00:00,B2,59,5,17,0,0,14.872564212560093,0.20378944502764867
2024-01-02 12:00:00,B2,90,1,16,0,1,16.890989451982165,1.412289986979663
2024-01-02 13:00:00,B2,76,0,17,0,0,15.489434132747052,0.28525128711213404
2024-01-02 14:00:00,B2,45,1,16,0,0,14.972180262411038,0.3595950322197144
2024-01-02 15:00:00,A1,34,4,17,1,0,17.70219588304249,0.44199794349654287
2024-01-02 16:00:00,B2,22,0,4,1,0,14.665139303943887,0.21366509531021044
2024-01-02 17:00:00,B2,21,0,21,0,0,19.851260096346895,0.7437667350812949
2024-01-02 18:00:00,C3,26,4,15,1,0,22.22549997837873,0.6675972350936215
2024-01-02 19:00:00,A1,45,4,21,0,0,11.085248428632381,0.1678757806688416
2024-01-02 20:00:00,C3,28,1,20,1,0,24.928406769399622,1.3781377328645965
2024-01-02 21:00:00,A1,75,0,2,0,0,17.09835170039495,1.0490776025039128
2024-01-02 22:00:00,A1,43,3,2,0,0,12.774713656028965,0.3878831684832283
2024-01-02 23:00:00,B2,65,1,21,0,1,24.358402660387153,0.2820169243232848
2024-01-03 00:00:00,A1,18,2,7,0,0,16.781961103256673,0.4186966449567637
2024-01-03 01:00:00,A1,36,6,15,1,0,9.484500442520334,0.10204237858754601
2024-01-03 02:00:00,A1,12,3,5,0,0,17.51281346855582,0.5705312243859757
2024-01-03 03:00:00,A1,70,4,18,1,0,7.140586568818188,0.04910951281598404
2024-01-03 04:00:00,A1,71,6,15,0,1,21.072208041093432,0.5862496331864355
2024-01-03 05:00:00,A1,11,2,22,1,0,17.802486894180227,1.2397423221031096
2024-01-03 06:00:00,A1,98,0,8,0,0,11.157095590530842,1.1466596441541148
2024-01-03 07:00:00,A1,90,5,19,0,0,13.77481126257274,0.06056170939064576
2024-01-03 08:00:00,B2,37,4,20,1,0,11.80384182606278,0.4326145086509267
2024-01-03 09:00:00,B2,26,4,8,1,0,16.122858379559904,0.7540272442082218
2024-01-03 10:00:00,A1,2,5,9,0,0,18.969668548710974,0.75594661686624
2024-01-03 11:00:00,A1,8,5,20,0,0,11.475816656696587,0.13073393436090333
2024-01-03 12:00:00,B2,22,0,18,0,0,8.88013482649315,0.45218640951939043
2024-01-03 13:00:00,C3,54,4,9,0,0,15.207651853079357,1.215088177622626
2024-01-03 14:00:00,B2,42,2,17,1,0,19.253083321327242,0.3591389880826504
2024-01-03 15:00:00,C3,30,6,16,1,0,18.454363497185252,0.019004387821500438
2024-01-03 16:00:00,B2,6,2,1,1,0,15.561338403048392,0.09694222996914163
