timestamp,location_id,parking_type,capacity,occupancy,latitude,longitude,temperature,humidity,wind_speed,precipitation,hour,weekday,month,day,is_weekend,is_holiday,time_category
2023-01-01 00:00:00,LOC_1,Mixed,423,79.96238222991123,41.36708690029832,2.1506194885482106,18.493428306022466,61.37128093423267,7.3825919938312525,0.0,0,6,1,1,True,False,night
2023-01-01 01:00:00,LOC_1,Mixed,423,59.77082230603931,41.36708690029832,2.1506194885482106,16.02473920852233,68.33129820065598,5.280406436539817,0.0,1,6,1,1,True,False,night
2023-01-01 02:00:00,LOC_1,Mixed,423,47.140751569008565,41.36708690029832,2.1506194885482106,16.309722243215575,66.194395004205,6.76747583424801,0.0,2,6,1,1,True,False,night
2023-01-01 03:00:00,LOC_1,Mixed,423,40.040342050350155,41.36708690029832,2.1506194885482106,16.773482228599715,69.48756595347292,6.447222217917625,0.0,3,6,1,1,True,False,night
2023-01-01 04:00:00,LOC_1,Mixed,423,29.054017506752807,41.36708690029832,2.1506194885482106,12.06038355506166,67.90931390674223,6.932714638617349,0.0,4,6,1,1,True,False,night
2023-01-01 05:00:00,LOC_1,Mixed,423,16.01989642680416,41.36708690029832,2.1506194885482106,11.032055033129287,72.38317587539018,5.201733354040982,0.0,5,6,1,1,True,False,night
2023-01-01 06:00:00,LOC_1,Mixed,423,18.937475100398803,41.36708690029832,2.1506194885482106,13.871333995055032,71.81576024383783,6.7485584388768824,0.0,6,6,1,1,True,False,morning
2023-01-01 07:00:00,LOC_1,Mixed,423,19.259955617471352,41.36708690029832,2.1506194885482106,11.755448217684993,74.67947621635498,6.694495342043474,0.0,7,6,1,1,True,False,morning
2023-01-01 08:00:00,LOC_1,Mixed,423,29.56917146840293,41.36708690029832,2.1506194885482106,9.118431600986746,85.1534482373259,6.693456357819843,1.4367569459094216,8,6,1,1,True,False,morning
2023-01-01 09:00:00,LOC_1,Mixed,423,36.15004027766113,41.36708690029832,2.1506194885482106,11.320043781095471,74.78315816799321,6.823373564863141,0.03971637332766473,9,6,1,1,True,False,morning
